agyögwëh	agyö gwë h
wa’öhdoh	wa’ ö hdoh
doja’ja’göh	do j a’ja’g öh
o’gedzagö:’	o’ge dzagö :’
hegagön	he ga gö n
niyöjehak	ni yö je hak
niodiyeëh	ni odi yeëh
nayagoyeök	na yago yeök
hajanö’ta’	h ajanö’t a’
hodigöhsosga’ah	hodi göhsosga’ ah
gaya’da’	ga ya’d a’
hënöh	hënöh
degahoot	de ga hoot
hanesdi’se’s	ha nesdi’se ’s
wa’ögwa’se:’	wa’ ögwa’se:’
oisëhdase:’	o isëhdase :’
ohësdanö’	o hësdanö ’
honegeëh	ho nege ëh
ëswanegeäh	ë swa nege äh
snegeönyöh	s negeönyö h
ösawage’se:’	ö sa wage’se :’
wadowi’	wa dowi ’
wadashaenë’s	w adashaenë ’s
wënöhgwisas	wënö hgwis as
gaha’döh	ga ha’d öh
twaën	twaën
o’gë:’	o ’gë :’
ögwanögenyök	ögwa nögenyö k
o’gawë’daë’	o’ ga wë’da ë’
yöhdagöh	yö hdag öh
deyodöëdzo’kdahgöh	de yo döëdzo’kd ahgöh
yöëdza’	yö ëdz a’
dedwagatšo’dësdöh	de d wag atšo’dësd öh
hëyagoa’danöwë’	hë yago a’danöwë ’
dzögwagöh	dz ögwa g öh
ögwadekönih	ögw adeköni h
ëdwadeköni’	ëdw adeköni ’
gë’das	gë ’da s
dayohsa’öje’	da yo hsa’ öje’
dewahgëön	de w ahgëön
dega’höhsageh	de ga ’höhsage h
niwashëh	ni w ashë h
sgasgae’	sga sgae’
agadeë’öh	ag adeë ’öh
dëwënöëdzotga’wahsek	dë wënö ëdzotga’w ahsek
o’kedzaö’	o’ ke dzaö ’
dënë’nigöëwënya’tak	dën ë’nigöëwënya’t ak
onödö’se’öök	onö dö’se’ öök
hösayagoyönöje’	hösa yago yönö je’
oni’öhganya’göh	o ni’öhganya’g öh
ëgade’go’	ë g ade’go ’
onya’da’	o nya’d a’
o’gäs’anegwah	o’ g äs’ane gwah
otgö’	o tgö ’
hodikdö’	hodi kdö ’
hadikdö:’	hadi kdö :’
hëh	hëh
deyodä’negëöh	de yo dä’negë öh
yega’geh	ye ga’ geh
hagösgahat	ha gösgahat
hëyötgahdë’	hë yö tgahd ë’
odahsogwëh	o dahsog wëh
o’gya’jenë’t	o’ g ya’jenë’ t
ho’wa’së’t	ho’ w a’së’ t
hadiya’jenëta’	hadi ya’jenët a’
yewajiyä’	ye wajiyä’
wa’ödäwak	wa’ ö däwak
osnowe’	o snow e’
hohsëh	ho hsë h
shagwa’nigëö’	shagwa ’ni gëö’
joiwa’shö’	j o iwa’ shö’
ganönyowanëh	ga nönyowanë h
ëshekwanön	ë she kwanön
do’nigöhganyëh	d o ’nigö hganyëh
dzödögweta’	dzö dögwet a’
o’wadögwe:’	o’ w adögwe :’
yeöh	ye ö h
shagowenoa’	shago weno a’
onya’gä:’	o nya’g ä:’
nigahšö’shägeh	ni ga hšö’shäge h
niwashëh	ni w ashë h
waya’dasgeha’	wa ya’dasgeh a’
deyoöyogëhö’	de yo öyogëhö ’
ogawehšön	o gawehšön
ësgegë’s	ë sge gë’s
ge’nya’geh	ge ’nya’ geh
sanio’kdë’	sa nio’kd ë’
šënëda’t	š ënëda’ t
waënötëdihsa’hö:’	waënö tëdihsa’hö :’
tsa’wadahgwi’	tsa’ w adahgwi ’
ojisda’geh	o jisd a’ geh
yödega’dahgwa’	yö dega’ dahgwa’
ëgyëdagwa:’	ë g yëdagwa :’
dawajeën	da w aje ën
dajeëhdak	d aje ëhdak
gëdzanöge’	gë dzanöge’
gais	ga i s
yötwadaseta’	yö twadaset a’
ëwödo’gäk	ë wö do’gäk
ote’shä’geh	o te’shä’ geh
awëön	aw ë ön
haya’döje’	ha ya’döje ’
hadije’s	ha dije ’s
deyoshadohgwayë’	de yo shadohgwayë ’
o’dwaja’së’	o’d w aja’së ’
aöwöyanëö’	aöwö yanëö ’
waöwöshe:’	waöwö she :’
okwaih	o kwai h
dwatgeö’	dw atgeö ’
gajisgwa’eh	ga jisgwa’eh
gegë’dza’geh	ge gë’dz a’ geh
hëgadaje’	hë ga d aje’
gahsigweoa’	ga hsigweo a’
niwashëh	ni washëh
oëdöh	o ëd öh
geih	geih
onösdagehdet	o nösdagehdet
gayanöse:’	ga yanöse :’
oëhji’ä’	o ëhji’ ä’ 
gyadeoh	gy ade oh
ögahjön	ög ahj ön
osä’öh	o sä’ öh
wayatgësta’	w ayatgëst a’
ësdagi’da:’	ë s dagi’da :’
o’ganöhsih	o’ ga nöhsi h
ënödëdetgädö:’	ënö dëdetgädö :’
honöjanön	honö janön
nö’watganye’tšishe’	nö’ w atganye’tšish e’
gatganye’shä’	g atganye’ shä’
oëda’	o ëd a’
shögwaya’deegöh	shögwa ya’deeg öh
ëjisnoekö:’	ë jisn oekö:’
wa’ögwaya’dayeih	wa’ ögwa ya’dayeih
hodiya’dayei’öh	hodi ya’dayei’öh
goya’dayeista’	go ya’dayeist a’
o’tagahada’t	o’t a gahada’ t
ënöde’nöhdaah	ënö de’nöhdaah
dëhnyadi’he’t	dë hny adi’he’ t
satgëh	s atgëh
sade’sgogoh	s ade’sgogo h
wa’e’nigöëdogëh	wa’ e ’nigöëdogë h
jodeëhdanih	jo deëhdani h
ëwögegë’dë’	ë wöge gë’d ë’
dëyadä’negë:’	dë y adä’negë :’
hatgëös	h atgë ös
dö’ödagatgëh	dö’ öd ag atgë h
ga’gagowah	ga’gagowah
tidwagatiöh	ti d wag atiöh
wa’öde’dö:’	wa’ ö de’dö :’
daskwisdöh	da sk wisdö h
o’tagänöhdo:’	o’t ag änöhdo :’
o’tgyadahnönyö:’	o’t gy adahnönyö :’
da’age’nigo’kda’öh	da’ age ’nigo’kda’ öh
ëgöyö’	ë gö yö’
dasgöh	da sg öh
awisahdöh	a wisahdö h
sanya’dowis	sa nya’dowi s
o’jagwayaya’k	o’jagwa yaya’k
dayagoya’dawëhdake’	da yago ya’dawëhdake ’
wa’agwagwa:’	wa’ agwa gwa :’
gekdönöh	ge kdön öh
hënötganye’he’s	hënö tganye’h e’s
ëgënöeta’	ë gë nöet a’
ëtgöyö’sene’	ët gö yö’sen e’
sawahdëdi’	sa w ahdëdi ’
dödagahdëdi’	döda g ahdëdi ’
hëtsahget	hët s ahget
agasnowädöh	ag asnowädö h
heahwas	he ah was
wadowäta’	w adowäta ’
o’shagoya’dihsaka’	o’ shago ya’dihsak a’
dayagë’t	d a yagë’ t
heshonötgödahgöh	hes honö tgöda hgöh
dëjötgödak	dëjö tgöda k
hëëne:’	hë ën e:’
hëshëne:’	hësh ën e:’
nidisenöh	ni dis en öh
wa’awenöje’	wa’ aw en öje’
hëswet	hë swe t
dawadiyagëhdak	da wadi yagëhdak
goäho’	go äho ’
wa’agwahdahgwagwa:’	wa’ agw ahdahgwagwa :’
ëödeyës	ëö deyës
hi’eodane’s	hi’ eodan e’s
dagaën	dagaën
o’gadawën	o’ g adawën
ige’	i g e ’
dae’	d a e ’
ishe’	i s h e ’
waënöhdëdi’	waënö hdëdi ’
niënöhdëjösgwa’	ni ënö hdë jösgwa’
hawëniyo’	ha wën iyo’
ga’sehdiyoh	ga ’sehd iyoh
gëdiyoh	g ëd iyoh
honödä’swiyoh	honö dä’sw iyoh
ohiyoh	o h iyoh
honödënetgädö’	honö dënetgädö ’
sawiyo’he’t	sa w iyo ’he’ t
yöda’doäta’	yö da’doät a’
onyöhsa’	o nyöhs a’
waöwöyenö:’	waöwö yenö :’
wa’eyenö:’	wa’ e yenö :’
keyade’	ke y ade ’
ëkeyade’shö’gëö	ë ke y ade ’ shö’ gëök
aksotgëö’	ak sot gëö’
etihsot	eti hsot
ogwaa’	o gwa a’
hënö’etšiyoh	hën ö’etšiyo h
o’kdagö’	o ’kdagö’
shosheowa:’	s ho she owa:’
ogeo’dza’gea’	o geo’dz a’gea’
dëdzagodahnöönyö:’	dë dzago dahnöönyö :’
wagö’	w agö ’
yone’sä’geh	yo ne’s ä’ geh
nigëjohgwa’	ni gë johgwa’
wa’ödojak	wa’ ö dojak
odönih	o döni h
ot’eohdönih	o t’eohdöni h
hadënöh	h adënö h
deyöknyadödaikdöh	de yökny adödaikd öh
ësnyatganye’hah	ë sny atganye’ hah
agege’ä’	age ge’ ä’
ha’deswahsënöh	ha’ de s w ahsënö h
o’nya’	o ’ny a’
gënöh	gë nö h
ëhsniyödë’	ë hsni yöd ë’
nëtgaiwayä’dak	nët ga iwayä’d ak
de’sa’nigöëwë’öh	de’ sa ’nigö ëwë’öh
niodiya’dawë’öh	ni odi ya’dawë’ öh
ëyagojeö’	ë yago jeö ’
niyawë’öh	ni ya wë’ öh
tösayawëh	tö sa yawëh
godöhöe’	go döhöe’
wa’onoö’	wa’ o noö ’
ayoniyöök	a yo niyöö k
agadowehdahgöh	ag adowehda hgöh
de’shohigwäyë’	de’ s ho higwäyë ’
shagogedas	shago ged as
wadinëhgwi’	wadi nëhgwi ’
goksa’dayë’	go ksa’ da yë’
ye’nigöëyë’	ye’nigöëyë’
godeyagöh	go deya göh
hodiwadenyö’	hodi wadenyö ’
hoyë’	ho yë’
eodiyëdök	eodi yë dök
goswë’gaiyo’	go swë’gaiyo’
haöhwö’	ha öhw ö’
onö’ë:’	o nö’ë :’
gasdowä’	ga sdow ä’
o’giwaök	o’ g iwaök
agatöde’	ag atöde ’
eotödek	eo töde k
wa’agotödëh	wa’ ago tödë h
wa’ögwatödëh	wa’ ögw atödë h
hagatödadöh	h agatödad öh
hënöka’	hënö ka ’
ëhsnegadaia’t	ë hs negadaia’t
osde’	o sde ’
wa’agwajenöwö’s	wa’ agw ajenöwö’s
saöwödiyenöwö’s	sa öwödi yenöwö’s
ögya’dagehëh	ögy a’dageh ëh
keya’dagehënö’	ke ya’dageh ënö’
ayetiya’dageha’	a yeti ya’dageh a’
dëhsada’ënöë’	dë hs ada’ënö ë’
agadaë’öga:’	ag adaë’öga:’
hono’sgäs	ho no’sgä s
wadahset	wa dahset
o’gahset	o’ g ahset
siwahset	s iwahset
onödagöh	o nöda göh
ëgadëhö’t	ë g adëhö’ t
sadëhö’shëdö’	s adëhö’shëdö ’
gaöhjishä’	ga öhjish ä’
wadiashë:’	wadi ashë :’
sdoäk	s doäk
o’ges’ohda:’	o’ ge s’ohda :’
ika:’	i k a:’
aöëdzagaën	a öëdzaga ën
yöwökta’	yö wökt a’
oshesda’	o shesd a’
ojeänë’da’geh	o jeänë’d a’ geh
ohdadaiöh	o hdadaiöh
onö’gä’	o nö’gä ’
dejodiha’kdöh	de jodiha’kdö h
onöhšenë’öh	o nöhšenë’ öh
gonöhsot	go nöhsot
dejagonöhsot	de jago nöhsot
ganöhsodö’	ga nöhs odö’
niwënishes	ni wënishes
hëh	hëh
wë’nya’eh	w ë’nya’eh
sadöswe’danih	s adöswe’dani h
hënödowäs	hënö dowä s
dayosgowehdööje’	da yo sgowehd ööje’
öknëshayëëh	ök nëshayëë h
waodiyëh	waodi yë h
wasgwade’	w asgwade ’
ni’ah	n i ’ah
dwëniyö’da’ešöh	d w ëniyö’da’ešö h
gahäse:’	ga häse :’
ëyöiowanëök	ë yö iowanë ök
wadigowanës	wadi gowanë s
tënöhdö:’	t ënöhdö :’
hegayei’gowah	he ga yei ’ gowah
hëni’jö’	hën i’jö ’
ëgöwëni’jö:’	ë göwën i’jö :’
ne’hogwah	ne’hogwah
ënishäse’aneh	ënishäse’ aneh
gwa’	gwa’
hadiya’da:’	hadi ya’da :’
ho’gya’däje’	ho’ g ya’dä je’
ögwe’öweka:’	ögwe’ öwe ka:’
agyeönih	ag yeöni h
ogaa’	o ga a’
hadi’nön	hadi ’nön
hoyeëhdöh	ho yeëhd öh
gë’	gë’
dega’nigöëdenyös	de ga ’nigöëdenyö s
ëyekdö:’	ë ye kdö :’
da’agekdö:’	da’ age kdö :’
hadinyö’öshäeha’	hadi nyö’öshäeha ’
oweno’	o weno ’
agyöhgwanih	ag yöhgwani h
honöhwö’	hon öhw ö’
gëöshä’	gë ösh ä’
šo’ha’geh	šo ’ha’ geh
tojëtwahdöh	t o jëtwahd öh
haono’öh	ha ono’ö h
desënö’sgwak	de s ënö’sgwak
o’tënö’sgwaë’	o’t ënö’sgwa ë’
gë’dagahadenya’ta’	gë ’dagahadenya’t a’
ta’sajeh	ta’ s aje h
yëhsëtwas	y ëhsët was
ha’wëtwas	h a’wëtw as
waöwönyo’	waöwö nyo ’
ëswanyo’	ë swa nyo ’
niyögwaio’dëh	ni yögwa io’dë h
nö’gya’do’dë’	nö’ g ya’do’dë ’
ho’tgaëno’dë’	ho’t g aëno’dë ’
nigawëno’dëh	ni ga wëno’dë h
agidëöh	ag idë öh
asgwëdësek	a sgwë dës ek
nö’deyo’dë’	nö’ de y o’dë ’
yödeksowä’dahgwa’geh	yö deksowä’ dahgwa’ geh
gaganya’shä’	ga ganya’sh ä’
agënöhdö’	ag ënöhdö ’
ögwënöhdö’	ögw ënöhdö ’
da’asgwawënöyëde:’	da’ asgwa wënöyëde :’
de’jidwaiwayëdeih	de’ jidwa iwayëde ih
de’seyëöh	de’ se yë öh
wayëdei’	wa yëde i’
ëöwöyëdei’	ëöwö yëde i’
gä’tëshä’	g ä’tësh ä’
nö’gëöda’öh	nö’gëöda’ öh
niyejisdota’	ni ye jisdot a’
ögyöëdzade’	ögy öëdzade ’
ögyöëdzadenyö’	ögy öëdzade nyö’
ko’ä’geh	ko’ ä’ geh
hëhsajëëtho’	hë hsajëëtho ’
hasgatgwë’s	ha sgatgwë ’s
ho’gesgatgwëh	ho’ ge sgatgwë h
nitadiya’dageö’	ni t adi ya’dageö ’
sdëhdaëh	s dëhdaë h
agegeö’	age geö ’
hogeödö’	ho geö dö’
hagadehwëh	hag adehw ëh
waënötöwö’dih	waënö töwö’dih
hoya’dayë’hesgöh	ho ya’dayë’hesg öh
aëödiyë’he’t	aëödi yë’he’ t
hadeyësta’	h adeyëst a’
yödeyësta’shö’öh	yö deyëst a’ shö’öh
aginöh	ag in öh
ëšanitgë’t	ë š anitgë’ t
waodadë:’	wao dadë :’
degahsinön	de ga hsinön
gahsinö’geh	ga hsin ö’ geh
heyadwëdehdanih	he yadwëdehdani h
tigëöh	ti gë öh
honowëh	ho nowë h
geganëdas	ge ganëd as
niyagöho’dëh	ni yag öho’dë h
dewagehgwëh	de wage hgw ëh
deyögwahgwëöje’	de yögwa hgw ëöje’
desehgwa’t	de se hgwa’t
dëdzohate’	dë dzo hate ’
ojisda’	o jisd a’
o’gayë’gyö’	o’ ga yë’gyö ’
hodiga’has	hodi ga’h as
gönöe’s	gö nöe’ s
shagonöe’s	shago nöe’ s
deganö’net	de ga nö’net
onega’	o neg a’
ëtsadiwatödat	ët sa diwatödat
tonënökdë’	ton ënökdë ’
göhe’	g öhe ’
niënöhö’s	ni ën öhö ’s
ëganögek	ë ga nöge k
ye’jö’	ye ’jö ’
ëhsi’jöda’k	ë hsi’jöd a’k
tšiwëni’jö’	tši wën i’jö ’
jodöshot	j o döshot
onëhjih	onëhjih
niyeiwis	ni ye iwis
gagëhis	ga gëhis
o’yöshe’t	o’ yö she’ t
degegane’	de ge gan e’
dejidwagane:’	de jidwa gan e:’
dwagatgatwëh	d wag atgat wëh
datgato’	d atgat o’
hejotgatwëh	he jo tgat wëh
höwöya’dihsagöh	höwö ya’dihsag öh
sihsak	s ihsak
hatöeswe’ta’	h atöeswe’t a’
ögwahdöniaje’s	ögw ahdöni aje’s
wa’ögwahdö:’	wa’ ögw ahdö :’
agihgae’	ag ihgae ’
ji’nöh	ji’nöh
ha’dedwadahnoöhgwa’	ha’ de dw adahnoöhgw a’
oshe’nön	o she’nön
heyeyashë’	he ye yashë ’
haya’dayëdaje’	ha ya’dayëdaje’
wayadiwis’a:’	wa y adiwis’ a:’
wayatwajiyöni’	wa y atwajiyöni ’
heshedwaiwajeëto’	he shedwa iwajeëto ’
taogaën	ta ogaën
nisgwayanö’danih	ni sgwa yanö’dani h
ëyotgaeh	ë yo tgaeh
o’gagowanën	o’ ga gowanën
de’etšihšönyanih	de’ etši hšönyani h
hadeyas	h adeya s
tsadadögwe’dönyë’	ts adadögwe’döny ë’
ëhsnö’sgwahšöni’	ë hs nö’sgwahšöni ’
waënë’nigöis’a:’	waën ë’nigöis’ a:’
ëniyä’dak	ë ni yä’dak
ëgehšöni’	ë ge hšöni ’
hadijinöshö’öh	hadi jinö shö’öh
deijinöh	dei jinö h
dösagë’nyaë’	dösa g ë’nyaë’
ögwatga’de’	ögw atga’de ’
wa’agwatšisgo’	wa’ agw atšisgo ’
gayanö’döh	ga yanö’d öh
waonyak	wa o nyak
deyödä’negëhse’s	de yö dä’negëhs e’s
ha’wëtwas	h a’wëtw as
joiwa’shö’	jo iwa’ shö’
jögwadojëh	jögw adojë h
ëyonödojëöje’	ë yonö dojë öje’
gajitgweekta’	ga jitgweekt a’
odënö’geähdashä’	o dënö’geähdash ä’
o’wase:’	o ’wase :’
hodinöhgwa’shäyëdak	hodi nöhgwa’shäyëd ak
o’tënödä’t	o ’tënödä’ t
ganö’nöwëhdöh	ga nö’nöwëhd öh
godähgwänyeh	go dähgwänye h
otgi’	o tgi ’
tsa’do’döhsäëh	tsa’ do ’döhsäë h
sha’deswahsënöh	s ha ’deswahsën öh
ha’degoshäëh	ha’ de g oshä ëh
waöwönö’geë’	waöwö nö’ge ë’
sa’nigöë’	sa ’nigöë’
gahgwa’geonö’	ga hgw a’geonö’
yötgatwata’	yö tgatwat a’
oshadagöshö’	o shad agöshö’
deyögwajesdöh	de yögw ajesd öh
sa’sa’	sa’sa’
osgë’šön	osgë’šön
waënötwisdaje’nit	waënö twisdaje’nit
ëwëni’da’gegëök	ë w ëni’da’geg ëök
wadëni’do’kta’	w adëni’do’kt a’
yenesjowä’dahgwa’	ye nesjowä’dahgw a’
ono’ëh	o no’ëh
no’yëh	no’yëh
hahsowanëh	ha hsowanë h
dasatis	da s atis
hedzogëisdöh	he dzo gëisd öh
haya’dasnowe’	ha ya’dasnow e’
ëyagohdëjet	ë yago hdëjet
onya’geo’	o nya’geo ’
niyonö’net	ni yo nö’net
agejisgönih	age jisgöni h
yödënodahgwa’	yö dënodahgw a’
nö’gëödö’öh	nö’gëödö’ öh
gahsënö’	ga hsën ö’
höwöyastak	höwö yast ak
de’ohsënöyë’	de’ o hsënöyë ’
hayas	ha ya s
da’akeyasö:’	da’ ake yas ö:’
deyohsënögeh	de yo hsënöge h
oksa’datgi’shö’öh	o ksa’datgi’ shö’öh
onyaa’	o nya a’
deyodëdzoöh	de yo dëdzo öh
adehsa’	adehs a’
wase:’	w ase :’
tganödayë’	t ga nödayë ’
ganöhsak	ga nöhs ak
wak’ah	w ak’ah
wiyoaje’	w iyo aje’
niwadahsödine’s	ni w adahsödine ’s
niwahsödade’	ni w ahsödade ’
sgae’	s ga e ’
niwashëh	ni w ashë h
tiyodi’sdajeëh	ti yo di’sdaje ëh
agihgae’nih	ag ihgae’ni h
detgyei’	detgyei’ de t gyei ’
de’gähgwähgöh	de’ gä hgwä hgö h
hagöda’geh	ha göd a’ geh
de’weëh	de’ weëh
nëgëök	në g ëök
doga’ëyös’öh	do ga’ëyös’ öh
